sequencing information of APGp1 individuals,,,,,,,,,,,,,
PopulationID,Population,Family ID,Offspring ID,HiFi platform,HiFi cov. (¡Á),HiFi N50 (Kbp),ONT platform,ONT flow cell version,ONT cov. (¡Á),ONT N50 (Kbp),UL-ONT cov. (¡Á),UL-ONT N50 (Kbp),Note
CHA-NE,"Han, Northeast China",C075-CHA-NE15,C075-CHA-NE15-01,PacBio Sequel II & Revio,42.7 ,20.8 ,PromethION,R9.4.1,108.2 ,120 ,62.7 ,188,
CHA-NE,"Han, Northeast China",C076-CHA-NE16,C076-CHA-NE16-01,PacBio Sequel II & Revio,48.0 ,20.0 ,PromethION,R9.4.1,117.3 ,117 ,66.3 ,191,
CHA-NE,"Han, Northeast China",C077-CHA-NE17,C077-CHA-NE17-01,PacBio Revio,39.0 ,19.6 ,PromethION,R9.4.1,112.2 ,105 ,58.7 ,180,
CHA-NE,"Han, Northeast China",C078-CHA-NE18,C078-CHA-NE18-01,PacBio Revio,45.0 ,19.9 ,PromethION,R9.4.1,133.0 ,106 ,70.0 ,178,
CHA-NE,"Han, Northeast China",C079-CHA-NE19,C079-CHA-NE19-01,PacBio Sequel II & Revio,50.7 ,21.0 ,PromethION,R9.4.1,123.8 ,102 ,62.7 ,169,
CHA-NE,"Han, Northeast China",C080-CHA-NE20,C080-CHA-NE20-01,PacBio Sequel II & Revio,47.7 ,19.5 ,PromethION,R9.4.1,115.4 ,114 ,64.3 ,181,
CHA-C,"Han, Central China",C081-CHA-C01,C081-CHA-C01-01,PacBio Sequel II,45.3 ,17.1 ,PromethION,R9.4.1,126.7 ,95 ,60.0 ,167,
CHA-C,"Han, Central China",C082-CHA-C02,C082-CHA-C02-01,PacBio Revio,54.3 ,17.4 ,PromethION,R9.4.1,126.7 ,91 ,58.3 ,169,
CHA-C,"Han, Central China",C083-CHA-C03,C083-CHA-C03-01,PacBio Revio,57.3 ,17.5 ,PromethION,R9.4.1,111.3 ,107 ,59.0 ,178,
CHA-C,"Han, Central China",C084-CHA-C04,C084-CHA-C04-01,PacBio Revio,53.3 ,17.1 ,PromethION,R9.4.1,128.0 ,105 ,67.0 ,176,No trio information
CHA-C,"Han, Central China",C085-CHA-C05,C085-CHA-C05-01,PacBio Revio,59.0 ,14.8 ,PromethION,R9.4.1,132.9 ,90 ,60.7 ,171,
CHA-C,"Han, Central China",C086-CHA-C06,C086-CHA-C06-01,PacBio Revio,49.3 ,16.1 ,PromethION,R9.4.1,122.2 ,99 ,60.3 ,173,
CHA-C,"Han, Central China",C087-CHA-C07,C087-CHA-C07-01,PacBio Revio,58.3 ,16.6 ,PromethION,R9.4.1,145.4 ,90 ,66.3 ,170,
CHA-C,"Han, Central China",C088-CHA-C08,C088-CHA-C08-01,PacBio Revio,60.0 ,17.9 ,PromethION,R9.4.1,138.0 ,94 ,65.7 ,180,
CHA-C,"Han, Central China",C089-CHA-C09,C089-CHA-C09-01,PacBio Revio,60.0 ,18.3 ,PromethION,R9.4.1,137.7 ,100 ,68.7 ,177,
CHA-C,"Han, Central China",C090-CHA-C10,C090-CHA-C10-01,PacBio Revio,52.7 ,18.1 ,PromethION,R9.4.1,143.3 ,93 ,67.7 ,177,
CHA-C,"Han, Central China",C091-CHA-C11,C091-CHA-C11-01,PacBio Revio,53.7 ,18.8 ,PromethION,R9.4.1&R10.4.1,115.3 ,100 ,57.7 ,186,
CHA-C,"Han, Central China",C092-CHA-C12,C092-CHA-C12-01,PacBio Revio,53.7 ,17.5 ,PromethION,R9.4.1&R10.4.1,100.7 ,103 ,51.7 ,188,
CHA-C,"Han, Central China",C093-CHA-C13,C093-CHA-C13-01,PacBio Revio,57.7 ,16.9 ,PromethION,R10.4.1,156.6 ,89 ,72.0 ,174,
CHA-C,"Han, Central China",C094-CHA-C14,C094-CHA-C14-01,PacBio Revio,65.7 ,16.5 ,PromethION,R10.4.1,158.2 ,87 ,70.7 ,174,
CHA-C,"Han, Central China",C095-CHA-C15,C095-CHA-C15-01,PacBio Revio,64.0 ,17.5 ,PromethION,R10.4.1,180.6 ,76 ,71.7 ,170,
CHA-C,"Han, Central China",C096-CHA-C16,C096-CHA-C16-01,PacBio Revio,59.7 ,17.1 ,PromethION,R10.4.1,163.9 ,82 ,69.7 ,174,
CHA-C,"Han, Central China",C097-CHA-C17,C097-CHA-C17-01,PacBio Revio,55.7 ,18.0 ,PromethION,R10.4.1,182.6 ,83 ,77.3 ,167,
CHA-C,"Han, Central China",C098-CHA-C18,C098-CHA-C18-01,PacBio Revio,63.0 ,18.9 ,PromethION,R10.4.1,184.2 ,71 ,78.0 ,156,No trio information
CHA-C,"Han, Central China",C099-CHA-C19,C099-CHA-C19-01,PacBio Revio,57.0 ,18.4 ,PromethION,R10.4.1,227.1 ,69 ,78.0 ,177,
CHA-C,"Han, Central China",C100-CHA-C20,C100-CHA-C20-01,PacBio Revio,55.3 ,17.7 ,PromethION,R10.4.1,185.4 ,75 ,71.7 ,164,
CZA,Zang/Tibetan,C101-CZA01,C101-CZA01-01,PacBio Revio,44.7 ,20.7 ,PromethION,R10.4.1,124.8 ,95 ,59.7 ,181,
CZA,Zang/Tibetan,C102-CZA02,C102-CZA02-01,PacBio Revio,60.7 ,19.7 ,PromethION,R10.4.1,86.6 ,105 ,45.7 ,168,
CZA,Zang/Tibetan,C103-CZA03,C103-CZA03-01,PacBio Revio,48.0 ,17.2 ,PromethION,R10.4.1,62.2 ,85 ,27.0 ,170,No trio information
CZA,Zang/Tibetan,C104-CZA04,C104-CZA04-01,PacBio Revio,48.3 ,17.2 ,PromethION,R10.4.1,104.7 ,77 ,41.3 ,163,No trio information
CZA,Zang/Tibetan,C105-CZA05,C105-CZA05-01,PacBio Revio,51.7 ,17.7 ,PromethION,R10.4.1,93.5 ,66 ,32.7 ,165,
CZA,Zang/Tibetan,C106-CZA06,C106-CZA06-01,PacBio Revio,51.0 ,16.7 ,PromethION,R10.4.1,59.7 ,92 ,27.7 ,174,
CZA,Zang/Tibetan,C107-CZA07,C107-CZA07-01,PacBio Revio,51.7 ,18.1 ,PromethION,R10.4.1,108.6 ,81 ,45.0 ,168,No trio information
CZA,Zang/Tibetan,C108-CZA08,C108-CZA08-01,PacBio Revio,57.3 ,16.4 ,PromethION,R10.4.1,71.9 ,61 ,22.0 ,155,
CUG,Uyghur,C109-CUG01,C109-CUG01-01,PacBio Revio,51.0 ,21.1 ,PromethION,R10.4.1,177.9 ,77 ,70.0 ,163,
